Vacancy;Company;Location
Functional Formal Verification Engineer;Qualcomm;Santa Clara, CA
Senior IT Engineer – Perforce/DevOps;Qualcomm;San Diego, CA
Perl Developer;NXP Semiconductors;Noida, Uttar Pradesh, India
Mask Layout Designer;Qualcomm;San Diego, CA
Technical Staff Engineer-CAD;Microchip Technology Inc.;Chandler, AZ
PDK/CAD Engineer;Texas Instruments;Bengaluru, Karnataka, India
Senior Verification Leader - Battery Management Systems (m/f/d);NXP Semiconductors;Gratkorn, Styria, Austria
Senior/Principal Verification Engineer (m/f/d);NXP Semiconductors;Graz, Styria, Austria
Senior Analog Design Engineer - Automotive;NXP Semiconductors;Greater Nice Metropolitan Area
Digital Design Verification Engineer;NoBug Consulting;Braşov, Romania
Digital Design Verification Engineer;NoBug Consulting;Iaşi, Romania
Digital Design Verification Engineer;NoBug Consulting;Bucharest, Romania
R-10031537 Senior Test Engineer (ATE);NXP Semiconductors;Austin, TX
Pr. Engineer-CAD;Microchip Technology Inc.;Montreal, QC
Pr. Engineer-CAD;Microchip Technology Inc.;Ottawa, ON
Pr. Engineer-CAD;Microchip Technology Inc.;Burnaby, BC
Digital Design;Microchip Technology Inc.;Rousset, Provence-Alpes-Côte d'Azur, France
Technical Staff Engineer - IO PAD Development;Microchip Technology Inc.;Bengaluru, Karnataka, India
Staff Layout Engineer;Navitas Semiconductor;Shanghai, China
Sr Verification & Design Engineer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
Mirafra Software - Synthesis/STA Engineer;Mirafra Technologies;Delhi Cantonment, Delhi, India
Sr Verification & Design Engineer;Microchip Technology Inc.;Chennai, Tamil Nadu, India
